video_id,category_id,category_name
Ynwm92g2hxQ,20,Gaming
a4abVmaMj5A,20,Gaming
TUTMzIP_Mv0,20,Gaming
zrN-ybe49lg,20,Gaming
PuRqyxLxTTc,20,Gaming
VckKZ4et3Lc,20,Gaming
DYlXfkJoSZk,20,Gaming
YhyfNgrP6I0,20,Gaming
k_h9rDFewEs,20,Gaming
dfb6tSS6oKQ,20,Gaming
gbOUnXkpADE,20,Gaming
InSGyn6cpaU,20,Gaming
y2WuTLGs06o,20,Gaming
EpK5rdXeOqE,20,Gaming
pIiv6jd3TDE,20,Gaming
laVRl6oA6jI,20,Gaming
i5ImwmxIBtc,20,Gaming
ZvHnbHOIerk,20,Gaming
cA9lhV0L7K0,20,Gaming
vTevjjB39EI,20,Gaming
d-ho5lmmvhY,20,Gaming
FMWp9j1iqSM,20,Gaming
hWQ5imsk3Tc,20,Gaming
lAfcM3xL_4I,25,News & Politics
d00ON6DKw_w,20,Gaming
PTL7_P6wAEs,20,Gaming
EHQaIVaIByQ,20,Gaming
JyxCam3MPzM,20,Gaming
ni2WlAOXSS0,20,Gaming
qeROkAQh47Q,20,Gaming
c5Y9J5JrzwI,20,Gaming
CmD24RNekLw,20,Gaming
atWPsGZdFvs,20,Gaming
Qok8_k2u2Wk,20,Gaming
pgNC2d5Qxnw,20,Gaming
AuiLc9iPSAU,20,Gaming
B1sZL6bCseA,20,Gaming
c-QMeiDrU5w,20,Gaming
9HQiFClrGxA,20,Gaming
DZ-q7Z730mc,20,Gaming
d8yOwi4Nf8Y,20,Gaming
7aUR_JcodDs,20,Gaming
pi67Nk9B53c,20,Gaming
A2ZavS6T9dQ,20,Gaming
VZYGfo3rfLw,20,Gaming
0ruk5wnUdSc,20,Gaming
Z4Nhu-zU8c4,20,Gaming
9xmwtutifa4,20,Gaming
Y14ZgR4Ihdc,20,Gaming
vOiz-Ql6RqM,20,Gaming
M4rxtwSoVYU,20,Gaming
EMdFPlVSIZo,20,Gaming
nE-dYqiATr8,20,Gaming
-kFoeh54nF4,20,Gaming
YDm2whRgeyw,20,Gaming
7JTUamUqIWA,20,Gaming
ekrhSz4u5mw,20,Gaming
VU3IRMM7wuE,20,Gaming
KwY3Ukze-u8,20,Gaming
neUY63gwZLI,20,Gaming
3xdn3uayL3k,20,Gaming
BNFVafiZ8cE,20,Gaming
nspsCPIxb0M,20,Gaming
zbVS7LjttNU,20,Gaming
rdIgXWL9PuI,20,Gaming
iqmBBO50v8A,20,Gaming
ykA_qBf_7k4,20,Gaming
M5406g1hg3Q,20,Gaming
so-h2sxsfmY,20,Gaming
5K5kWzzDtz8,20,Gaming
Q3l9tsaeSE4,20,Gaming
aWnVv3989Jk,20,Gaming
W8EqtAfi8BQ,20,Gaming
Mg8ZIjbVO7s,20,Gaming
ReqcqwGLtIY,20,Gaming
VuJlZxKVQb4,20,Gaming
yYlEOZTt2aE,20,Gaming
Syk6gog8RN0,20,Gaming
9YwcMsggwtk,20,Gaming
pBPuQaXgFNY,20,Gaming
CuK9flBFk5o,20,Gaming
xvWNHl3eaaY,20,Gaming
oUBGzxfc6Pg,20,Gaming
qZ5XZPDar4w,20,Gaming
b8Zg-hoKN7s,20,Gaming
0O6fH_qj_7I,20,Gaming
qnK7XnHQyC0,20,Gaming
zewxKAV9GkA,20,Gaming
BPPu_4waehU,20,Gaming
XkBiWBbPT18,20,Gaming
v07C143sevo,20,Gaming
dx0lENtToOs,20,Gaming
cJhSc5trQb0,20,Gaming
d697Pd5sd1k,20,Gaming
9TKdk5G8jKM,20,Gaming
u9zKB3s-R1A,20,Gaming
De0mePZH0rI,20,Gaming
Bb43QlfkCAE,20,Gaming
wEa_8r0R3P8,20,Gaming
Snk1G2woxNo,20,Gaming
